Palabra,IDF_Norte,IDF_Sur,Diferencia_IDF
gutiérrez,9.03035982311015,4.7661135192406405,4.264246303869509
chihipas,9.520774449616013,5.569076284054655,3.951698165561358
poderosos,9.25127619924967,5.62509690585749,3.6261792933921804
acapulco,9.343145879874523,5.7388830077551,3.604262872119423
escondido,9.20961448725,5.730111708898679,3.4795027783513213
tiburón,8.540560527545315,5.62509690585749,2.9154636216878256
tratamientos,9.410720946905721,6.528808855524785,2.8819120913809364
fino,9.698403019357501,6.851667720403442,2.8467352989540595
razita,9.698403019357501,6.975281676370619,2.7231213429868824
declaración,9.45400875330375,6.755866306160131,2.698142447143619
diamante,8.733006269236803,6.0485196446291685,2.6844866246076347
2010,9.410720946905721,6.79587164077383,2.614849306131891
m4,9.49729655970178,7.074162619239455,2.4231339404623258
populista,9.20961448725,6.79587164077383,2.41374284647617
sc,9.410720946905721,6.998812484770521,2.4119084621352007
rafael,9.342436977646646,6.975281676370619,2.3671553012760267
oaxaca,8.40653588919585,6.044236726839121,2.362299162356728
goodnight,9.544252339530244,7.191184377417977,2.3530679621122674
incapacidad,9.31804189556193,6.9741198721801485,2.343922023381781
tokio,9.544252339530244,7.24557200611053,2.298680333419714
obtén,9.698403019357501,7.429595400862975,2.2688076184945265
quieto,9.544252339530244,7.2806633259218,2.263589013608444
descaro,9.25127619924967,6.998812484770521,2.2524637144791493
japon,9.49729655970178,7.24557200611053,2.2517245535912505
tragos,9.59784978952964,7.354771298075522,2.243078491454118
reacciona,9.59784978952964,7.429595400862975,2.168254388666665
sismo,9.20961448725,7.049434498096162,2.1601799891538382
morning,9.18757739559151,7.050105779158071,2.13747161643344
utc,8.891160756131466,6.76903417098634,2.122126585145126
yates,9.544252339530244,7.434814005749058,2.1094383337811857
cambioclimatico,9.698403019357501,7.59664948552614,2.101753533831361
coronavirus,9.005255838797556,6.923988381983068,2.081267456814488
zaragoza,9.698403019357501,7.6226758772487,2.075727142108801
crucero,9.544252339530244,7.4948425057388155,2.0494098337914286
restaurant,9.139704423592564,7.115342823261444,2.02436160033112
poniente,8.717573766345776,6.717400025332335,2.000173741013441
turistas,9.520774449616013,7.572250629993695,1.9485238196223182
terco,9.091831451593617,7.161331414268295,1.9305000373253218
centrales,9.698403019357501,7.769279351440575,1.929123667916926
alla,9.39511723547556,7.477373620167855,1.917743615307705
ilusos,9.343145879874523,7.429595400862975,1.9135504790115485
bolivia,9.544252339530244,7.643169501161034,1.9010828383692102
aprobar,9.31016771707786,7.4178814646026865,1.8922862524751736
maps,8.948208297464511,7.057519774607591,1.8906885228569204
98,9.45400875330375,7.578224114677866,1.875784638625884
valles,9.698403019357501,7.823346572710851,1.8750564466466502
terremoto,9.49729655970178,7.623359178705613,1.8739373809961677
llora,9.31016771707786,7.463759786569599,1.8464079305082608
aérea,9.698403019357501,7.85447859482824,1.843924424529261
triple,9.294781887744485,7.4948425057388155,1.799939382005669
regiones,9.410720946905721,7.6226758772487,1.788045069657021
campeche,9.698403019357501,7.915103216644676,1.7832998027128255
murieron,9.698403019357501,7.915103216644676,1.7832998027128255
complicidad,9.49729655970178,7.72249607820084,1.7748004815009404
putin,8.43556778967323,6.6616241175155775,1.7739436721576531
diarias,9.544252339530244,7.779654492040788,1.7645978474894557
guatemala,9.39511723547556,7.643169501161034,1.751947734314526
juárez,8.238299770885245,6.490611076145808,1.7476886947394368
putas,9.698403019357501,7.962640683648647,1.7357623357088539
envíos,9.544252339530244,7.80849000382139,1.7357623357088539
02,9.544252339530244,7.816479420234963,1.7277729192952815
1ro,9.343145879874523,7.617135562543013,1.72601031733151
oposicionmoralmentederrotada,9.410720946905721,7.691959665330466,1.7187612815752553
2011,9.698403019357501,7.979641737782247,1.7187612815752544
diana,9.150940851518595,7.434814005749058,1.7161268457695362
díaz,9.520774449616013,7.810333376849572,1.7104410727664412
jabón,9.544252339530244,7.840279113857223,1.7039732256730211
guerrero,8.048268086463986,6.346588431820975,1.7016796546430113
aaa,9.18757739559151,7.4948425057388155,1.6927348898526953
sánchez,8.753109479475821,7.078107438455121,1.6750020410206998
44,9.342436977646646,7.668428856930563,1.6740081207160822
erario,8.918788047453045,7.258051356171908,1.6607366912811372
chayotero,9.59784978952964,7.941129608367235,1.656720181162405
migración,9.343145879874523,7.691959665330466,1.6511862145440572
batería,9.698403019357501,8.047918478635466,1.6504845407220348
elefante,8.649998699314576,7.02413029275481,1.625868406559766
sedena,9.410720946905721,7.80341381808938,1.6073071288163412
cínico,9.520774449616013,7.915103216644676,1.6056712329713374
electo,9.544252339530244,7.941129608367235,1.6031227311630092
caseta,9.698403019357501,8.098343725890473,1.6000592934670284
mmmm,9.150940851518595,7.552197722955307,1.5987431285632878
acepta,9.39511723547556,7.797320180988292,1.597797054487268
04,9.342436977646646,7.758514214741667,1.5839227629049786
inepto,9.091831451593617,7.509638108536511,1.5821933430571056
city,8.661948701078845,7.082175621683367,1.579773079395478
alvarado,9.292937911249338,7.72249607820084,1.5704418330484975
musas,9.698403019357501,8.127961186309005,1.5704418330484966
tí,9.198595941420756,7.632017674173366,1.5665782672473894
restricciones,9.544252339530244,7.979641737782247,1.5646106017479973
reportan,9.520774449616013,7.960385673074741,1.5603887765412718
únicamente,9.062629083678935,7.509638108536511,1.552990975142424
2a,9.45400875330375,7.915103216644676,1.5389055366590743
tabasco,9.294781887744485,7.7649869100273685,1.529794977717116
cruising,9.49729655970178,7.979641737782247,1.5176548219195336
cobarde,9.139704423592564,7.644646300288649,1.4950581233039149
candidata,9.49729655970178,8.019159568004742,1.4781369916970384
pozole,9.31804189556193,7.840279113857223,1.4777627817047065
llano,9.544252339530244,8.066814657906905,1.4774376816233392
narcos,8.98647093593579,7.511958142819909,1.4745127931158812
militancia,9.292937911249338,7.823346572710851,1.4695913385384864
boulevard,8.782112287483347,7.320396108897983,1.4617161785853643
agustín,9.077122852115561,7.6226758772487,1.454446974866861
croquetas,9.39511723547556,7.941129608367235,1.453987627108325
texas,9.17420085933604,7.72249607820084,1.4517047811351995
125,8.69542010960045,7.24557200611053,1.44984810348992
medioambiente,8.851105158970299,7.4178814646026865,1.4332236943676122
actuales,9.134179505499272,7.704972861191746,1.4292066443075262
cogida,9.343145879874523,7.915103216644676,1.4280426632298475
besar,9.376933413390123,7.957470057424491,1.4194633559656324
mezcal,8.98647093593579,7.575288732730712,1.4111822032050778
felicitamos,9.520774449616013,8.110320346401721,1.4104541032142919
rodean,9.698403019357501,8.289796666086087,1.4086063532714146
tt,9.698403019357501,8.289796666086087,1.4086063532714146
especies,9.698403019357501,8.289796666086087,1.4086063532714146
amoroso,9.698403019357501,8.289796666086087,1.4086063532714146
promociones,9.376933413390123,7.979641737782247,1.3972916756078764
muerta,9.139704423592564,7.743252959718016,1.3964514638745475
legislatura,9.544252339530244,8.14876897314548,1.3954833663847648
playita,9.292937911249338,7.904817634994794,1.3881202762545435
campos,9.698403019357501,8.31028274310296,1.3881202762545417
ortiz,9.698403019357501,8.311143388189972,1.3872596311675292
seca,9.59784978952964,8.214972563298634,1.382877226231006
leymovilidadsegura,9.698403019357501,8.315823057808647,1.3825799615488545
ademas,8.554668797267436,7.178880631611858,1.3757881656555773
qatar,9.49729655970178,8.12274258142292,1.3745539782788612
dioses,9.410720946905721,8.047918478635466,1.3628024682702549
apple,8.827627269056066,7.468816114016256,1.3588111550398096
demandas,9.45400875330375,8.09539386482688,1.35861488847687
oficio,9.192384681421476,7.834673996580047,1.3577106848414289
cometa,8.933281815889671,7.578224114677866,1.3550577012118055
bloqueo,8.877668998334558,7.5233243145554995,1.3543446837790585
desfile,9.265361637733017,7.915103216644676,1.3502584210883413
respetable,9.091831451593617,7.743252959718016,1.3485784918756005
coalición,9.49729655970178,8.14876897314548,1.3485275865563011
blancos,9.520774449616013,8.174396837351201,1.3463776122648117
mole,9.25127619924967,7.908598915038021,1.342677284211649
marcos,9.139704423592562,7.797320180988292,1.34238424260427
postres,9.544252339530244,8.202785289096457,1.3414670504337867
gutierrez,8.891160756131466,7.552197722955307,1.3389630331761593
resultó,8.745475743410429,7.418991021076811,1.3264847223336185
equilibrio,9.17420085933604,7.851068907991543,1.3231319513444966
contaminación,9.294781887744485,7.973810506481746,1.3209713812627388
mafia,9.294781887744485,7.973810506481746,1.3209713812627388
armados,9.292937911249338,7.973810506481746,1.3191274047675918
monumento,9.698403019357501,8.381118987618093,1.3172840317394083
08,9.698403019357501,8.382448273708865,1.3159547456486358
quemando,9.698403019357501,8.38510684589041,1.3132961734670907
face,9.292937911249338,7.979641737782247,1.3132961734670907
ubicados,9.698403019357501,8.38510684589041,1.3132961734670907
detención,9.698403019357501,8.38510684589041,1.3132961734670907
comunista,9.091831451593617,7.779654492040788,1.3121769595528283
exige,9.520774449616013,8.215798484957737,1.3049759646582757
exigen,9.544252339530244,8.240420141938564,1.3038321975916798
solidario,8.92521313112402,7.6226758772487,1.302537253875319
sábados,8.8112787953271,7.509638108536511,1.3016406867905888
conviene,8.653473921921957,7.355487428709252,1.2979864932127052
justificar,9.192384681421476,7.901494155246549,1.2908905261749268
sanción,9.698403019357501,8.41113323761297,1.2872697817445307
chófer,9.698403019357501,8.41113323761297,1.2872697817445307
registra,9.698403019357501,8.41113323761297,1.2872697817445307
candidatura,9.698403019357501,8.41113323761297,1.2872697817445307
paridad,9.698403019357501,8.41113323761297,1.2872697817445307
demuestra,9.039369075861488,7.75342505736474,1.2859440184967488
fun,9.698403019357501,8.415643258760785,1.2827597605967167
palos,9.698403019357501,8.415643258760785,1.2827597605967167
violenta,9.698403019357501,8.415643258760785,1.2827597605967167
visiten,9.698403019357501,8.415643258760785,1.2827597605967167
alvarez,9.698403019357501,8.415643258760785,1.2827597605967167
asqueroso,9.410720946905721,8.127961186309005,1.2827597605967167
vulgar,9.45400875330375,8.179458676186078,1.2745500771176719
bienvenido,8.766097222677452,7.493951411481061,1.272145811196391
mandé,9.25127619924967,7.979641737782247,1.271634461467423
elimbecildepalacio,9.20961448725,7.941129608367235,1.2684848788827656
pretende,9.520774449616013,8.25553057063486,1.2652438789811526
feos,9.698403019357501,8.434871488069074,1.263531531288427
sindicato,8.978364186243715,7.717986057053025,1.2603781291906895
06,9.139704423592564,7.8834120312221385,1.2562923923704252
costa,8.33866455570883,7.093614110333419,1.2450504453754103
fraude,8.760861572743805,7.5218253827386885,1.2390361900051161
guanajuato,9.45400875330375,8.214972563298634,1.2390361900051161
chulo,9.544252339530244,8.31028274310296,1.2339695964272845
tapar,9.544252339530244,8.31028274310296,1.2339695964272845
conducta,9.443699109702383,8.214972563298634,1.228726546403749
vialidades,9.544252339530244,8.315823057808647,1.2284292817215974
semifinal,9.544252339530244,8.315823057808647,1.2284292817215974
gobernadora,8.624894715001984,7.397854269489067,1.227040445512917
simulación,9.198595941420756,7.973810506481746,1.22478543493901
turístico,9.45400875330375,8.229709715877634,1.2242990374261158
avenida,9.150940851518595,7.927190698575834,1.2237501529427606
coach,9.062629083678935,7.840279113857223,1.2223499698217122
estupendo,9.292937911249338,8.074661000991757,1.2182769102575808
desgraciadamente,9.265361637733017,8.048634609269197,1.2167270284638203
fyp,9.49729655970178,8.282180663293483,1.2151158964082978
calabaza,9.39511723547556,8.182228833538922,1.2128884019366382
soltero,9.59784978952964,8.38510684589041,1.2127429436392294
trio,9.520774449616013,8.31028274310296,1.2104917065130536
intensidad,9.520774449616013,8.31028274310296,1.2104917065130536
eduardo,8.948208297464511,7.73857723603847,1.209631061426041
tardaron,9.698403019357501,8.490467361548237,1.207935657809264
requisito,9.410720946905721,8.202785289096457,1.207935657809264
refugio,9.698403019357501,8.490467361548237,1.207935657809264
misericordia,9.18757739559151,7.979641737782247,1.207935657809264
aprobó,9.698403019357501,8.490467361548237,1.207935657809264
fronterasur,9.698403019357501,8.490467361548237,1.207935657809264
rayados,9.698403019357501,8.490467361548237,1.207935657809264
fraterno,8.92521313112402,7.717986057053025,1.2072270740709943
indígena,9.520774449616013,8.315823057808647,1.2049513918073664
vara,8.891160756131466,7.691959665330466,1.199201090801
james,8.995863387366674,7.797320180988292,1.1985432063783819
good,8.218326773863051,7.02413029275481,1.194196481108241
vivido,8.475136449952593,7.282142761974061,1.1929936879785323
naco,9.39511723547556,8.202785289096457,1.1923319463791024
parlamento,8.6847822547588,7.4948425057388155,1.1899397490199837
mateo,9.544252339530244,8.359639521183627,1.1846128183466167
constitucional,9.048543645195586,7.864825753393629,1.1837178918019573
explanada,9.698403019357501,8.516493753270797,1.1819092660867039
villarreal,9.698403019357501,8.516493753270797,1.1819092660867039
imparcial,9.410720946905721,8.229883923441085,1.1808370234646368
barbacoa,9.544252339530244,8.365733158284716,1.1785191812455285
tarifas,9.092267215787187,7.915103216644676,1.1771639991425111
forman,9.698403019357501,8.52235072140094,1.176052297956561
traidora,9.376933413390123,8.202785289096457,1.1741481242936658
aguilar,9.376933413390123,8.202785289096457,1.1741481242936658
comerciales,8.71844213277529,7.551040529244576,1.167401603530715
muñeca,9.294781887744485,8.127961186309005,1.16682070143548
ganadores,9.39511723547556,8.228811680819016,1.1663055546565442
mia,9.139704423592564,7.973810506481746,1.165893917110818
diademuertos,9.49729655970178,8.332257320882407,1.1650392388193733
championsleague,9.698403019357501,8.533426294417168,1.1649767249403329
masacre,9.698403019357501,8.533426294417168,1.1649767249403329
bancaria,9.698403019357501,8.533426294417168,1.1649767249403329
anciano,9.698403019357501,8.533426294417168,1.1649767249403329
agradeciendo,9.698403019357501,8.533426294417168,1.1649767249403329
siembra,9.698403019357501,8.533426294417168,1.1649767249403329
aa,9.698403019357501,8.533426294417168,1.1649767249403329
respaldo,9.06741380918701,7.902562624420888,1.1648511847661212
nudes,9.45400875330375,8.289796666086087,1.1642120872176633
perfectos,9.45400875330375,8.289796666086087,1.1642120872176633
md,9.544252339530244,8.382448273708865,1.1618040658213786
cometido,9.31016771707786,8.14876897314548,1.1613987439323807
candidatos,9.31016771707786,8.14876897314548,1.1613987439323807
pecado,9.139704423592564,7.979641737782247,1.160062685810317
seguidas,9.544252339530244,8.38510684589041,1.1591454936398335
anlo,9.544252339530244,8.38510684589041,1.1591454936398335
regidora,9.544252339530244,8.38510684589041,1.1591454936398335
cumpleañero,9.544252339530244,8.38510684589041,1.1591454936398335
covid19,8.670473906519788,7.513345396608639,1.157128509911149
debate,8.701970054915613,7.545745995632478,1.1562240592831348
saludable,9.294781887744485,8.14181607576022,1.1529658119842647
casas,8.029630673049372,6.876831228313826,1.152799444735546
prepara,9.376933413390123,8.228811680819016,1.1481217325711075
muestras,9.45400875330375,8.31028274310296,1.1437260102007905
chava,9.59784978952964,8.45926657015379,1.1385832193758496
disciplina,9.544252339530244,8.407863330093585,1.1363890094366589
subido,9.544252339530244,8.41113323761297,1.1331191019172735
menciona,8.874390298061478,7.743252959718016,1.1311373383434615
ratero,9.698403019357501,8.568465712338798,1.1299373070187038
grasa,9.544252339530244,8.415643258760785,1.1286090807694595
reparar,9.544252339530244,8.415643258760785,1.1286090807694595
gesto,9.544252339530244,8.415643258760785,1.1286090807694595
baila,9.25127619924967,8.12274258142292,1.1285336178267507
year,9.343145879874523,8.214972563298634,1.1281733165758894
habló,9.410720946905721,8.282564181269997,1.1281567656357243
hidalgo,8.701970054915614,7.575658897492055,1.1263111574235598
amando,9.698403019357501,8.574236322010051,1.1241666973474498
seminario,9.698403019357501,8.576457513721056,1.121945505636445
mirador,9.410720946905721,8.289796666086087,1.1209242808196347
contagios,9.342436977646646,8.221892122058826,1.12054485558782
ridícula,8.763578514113542,7.643169501161034,1.120409012952508
onlyfans,9.265361637733017,8.144962240442602,1.1203993972904147
turísticos,9.698403019357501,8.578712524294964,1.119690495062537
indígenas,9.005255838797556,7.8923195859124515,1.1129362528851043
vota,9.25127619924967,8.138723145044107,1.1125530542055628
lomas,9.59784978952964,8.485296735324079,1.112553054205561
presumido,9.49729655970178,8.38510684589041,1.1121897138113699
disfrutes,9.49729655970178,8.38510684589041,1.1121897138113699
naim,9.59784978952964,8.490467361548237,1.1073824279814026
pistola,9.520774449616013,8.415643258760785,1.1051311908552286
descargar,9.520774449616013,8.415643258760785,1.1051311908552286
pesadilla,9.520774449616013,8.415643258760785,1.1051311908552286
draga,9.520774449616013,8.415643258760785,1.1051311908552286
visa,8.720840218907036,7.617135562543013,1.1037046563640223
nefasto,9.31804189556193,8.214972563298634,1.1030693322632956
seguras,9.410720946905721,8.31028274310296,1.1004382038027618
meterse,9.410720946905721,8.31028274310296,1.1004382038027618
consciente,9.520774449616013,8.424624676112908,1.0961497735031056
buenosdías,9.698403019357501,8.60310760637968,1.095295412977821
camioneta,9.198595941420756,8.104226709300631,1.0943692321201244
online,9.292937911249338,8.202785289096457,1.0901526221528801
flag,9.698403019357501,8.608250397204621,1.0901526221528801
infantiles,9.698403019357501,8.608250397204621,1.0901526221528801
vuelves,9.698403019357501,8.608250397204621,1.0901526221528801
canceló,9.698403019357501,8.608250397204621,1.0901526221528801
aguanta,9.000047512201931,7.909960425819735,1.090087086382196
exigiendo,9.376933413390123,8.289796666086087,1.0871367473040365
97,9.49729655970178,8.41113323761297,1.0861633220888098
fuga,8.918788047453045,7.8328850859061045,1.0859029615469407
quiénes,9.17420085933604,8.0882978977891,1.0859029615469389
dejaré,8.92521313112402,7.840279113857223,1.0849340172667965
brasil,9.49729655970178,8.415643258760785,1.0816533009409959
asesina,9.49729655970178,8.415643258760785,1.0816533009409959
mana,9.20961448725,8.127961186309005,1.0816533009409959
macho,9.251276199249668,8.172912053901408,1.0783641453482602
cómplices,9.698403019357501,8.62193660322361,1.0764664161338917
05,9.31804189556193,8.243609958943948,1.074431936617982
tragar,9.59784978952964,8.524960023843983,1.072889765685657
colectivo,9.107435163023778,8.034725579063437,1.072709583960341
reformaeléctrica,9.49729655970178,8.424624676112908,1.0726718835888729
pueblito,9.544252339530244,8.47227976601507,1.0719725735151737
pose,9.59784978952964,8.52603226646605,1.07181752306359
marina,8.426378210220717,7.354771298075522,1.071606912145195
auditorio,8.89439296536833,7.823346572710851,1.071046392657478
felizmartesatodos,9.198595941420756,8.127961186309005,1.070634755111751
cruz,7.576563153245526,6.5061751283146165,1.0703880249309092
lucía,9.49729655970178,8.426958737917039,1.070337821784742
todxs,9.217706547830854,8.14876897314548,1.0689375746853749
listas,9.048543645195586,7.979641737782247,1.0689019074133395
oscuridad,9.520774449616013,8.453055310154511,1.0677191394615022
permanente,8.971468305281958,7.905246186737865,1.0662221185440925
reconoce,9.294781887744485,8.228811680819016,1.0659702069254688
maria,9.139704423592564,8.074661000991757,1.065043422600807
prácticas,9.139704423592564,8.074661000991757,1.065043422600807
duelo,9.292937911249338,8.228811680819016,1.0641262304303218
gravedad,9.698403019357501,8.634276788927181,1.06412623043032
joyería,9.698403019357501,8.634276788927181,1.06412623043032
decoración,9.698403019357501,8.634276788927181,1.06412623043032
ocurrencias,9.698403019357501,8.634276788927181,1.06412623043032
ejemplos,9.698403019357501,8.634276788927181,1.06412623043032
amloelfracasopresidencial,9.698403019357501,8.634276788927181,1.06412623043032
poeta,9.698403019357501,8.634276788927181,1.06412623043032
men,9.265361637733017,8.202785289096457,1.0625763486365596
kilómetros,9.211254845412899,8.14876897314548,1.0624858722674198
95,9.211254845412899,8.14876897314548,1.0624858722674198
módulo,9.376933413390123,8.315823057808647,1.0611103555814765
lloran,9.376933413390123,8.315823057808647,1.0611103555814765
olas,9.343145879874523,8.282206115953132,1.0609397639213913
presenciales,9.443699109702383,8.38510684589041,1.0585922638119722
pared,9.443699109702383,8.38510684589041,1.0585922638119722
rubén,9.544252339530244,8.490467361548237,1.0537849779820068
roba,9.544252339530244,8.490467361548237,1.0537849779820068
bon,9.544252339530244,8.490467361548237,1.0537849779820068
intelectual,9.544252339530244,8.490467361548237,1.0537849779820068
lagos,9.544252339530244,8.490467361548237,1.0537849779820068
exitosa,9.544252339530244,8.490467361548237,1.0537849779820068
únete,9.343145879874523,8.289796666086087,1.0533492137884366
morenadestruyendoamexico,9.343145879874523,8.289796666086087,1.0533492137884366
cifras,8.998705893482391,7.946010966431748,1.0526949270506432
tapete,9.20961448725,8.157975436303882,1.0516390509461182
reformas,8.955842033529905,7.904817634994794,1.0510243985351106
eliminar,8.647476282690805,7.59664948552614,1.0508267971646648
fuentes,9.198595941420756,8.14876897314548,1.0498269682752763
pasarla,9.31804189556193,8.268806078052002,1.0492358175099277
sanar,9.18757739559151,8.138723145044107,1.0488542505474037
espiritual,9.520774449616013,8.471925474145934,1.0488489754700794
kks,8.690682113791933,7.6439237017073935,1.0467584120845395
tlayuda,8.98647093593579,7.941129608367235,1.045341327568555
electoral,8.072950042117508,7.03520340305893,1.037746639058578
amenazas,9.25127619924967,8.214972563298634,1.036303635951036
issste,9.376933413390123,8.341455699098189,1.0354777142919342
amparo,9.520774449616013,8.485296735324079,1.0354777142919342
nació,8.971468305281958,7.937447918131419,1.0340203871505391
df,9.343145879874523,8.31028274310296,1.0328631367715637
correctamente,9.443699109702383,8.41113323761297,1.0325658720894122
vicio,9.342436977646646,8.31028274310296,1.032154234543686
reporteros,9.698403019357501,8.666957687041691,1.0314453323158101
abel,9.698403019357501,8.666957687041691,1.0314453323158101
doctores,9.698403019357501,8.666957687041691,1.0314453323158101
coincidimos,9.698403019357501,8.666957687041691,1.0314453323158101
mora,9.698403019357501,8.666957687041691,1.0314453323158101
sombra,9.25127619924967,8.220612335114964,1.0306638641347057
escobar,9.520774449616013,8.490467361548237,1.0303070880677758
isabel,9.410720946905721,8.381118987618093,1.0296019592876284
inició,8.612160090021012,7.583499771886551,1.0286603181344613
suministro,9.544252339530244,8.516493753270797,1.0277585862594467
periférico,9.544252339530244,8.516493753270797,1.0277585862594467
cínicos,9.544252339530244,8.516493753270797,1.0277585862594467
afirmó,9.544252339530244,8.516493753270797,1.0277585862594467
tlayudas,8.563364668623372,7.53566450025907,1.0277001683643014
montaña,9.45400875330375,8.426958737917039,1.0270500153867115
mi2021enspotify,9.410720946905721,8.38510684589041,1.0256141010153108
turista,9.49729655970178,8.47227976601507,1.02501679368671
festival,8.933281815889671,7.910092933779985,1.0231888821096868
ccp,9.544252339530244,8.522852762067634,1.02139957746261
clinica,9.49729655970178,8.478377176563889,1.0189193831378915
seguirme,8.864681255132927,7.848813897417636,1.0158673577152912
playera,9.376933413390123,8.362240066436721,1.0146933469534023
