Palabra,IDF_Colima,IDF_Yucatán,IDF_Morelos,IDF_QR,IDF_Jalisco,IDF_Guerrero,IDF_Tamaulipas,IDF_Chiapas,IDF_BCS,IDF_Veracruz,IDF_NL,IDF_Guanajuato,IDF_Puebla,IDF_Tabasco,IDF_Mexico_City,IDF_Sonora,IDF_Mexico,IDF_Oaxaca,IDF_Coahuila,IDF_Michoacán,IDF_Sinaloa,IDF_Querétaro,IDF_Durango,IDF_Zacatecas,IDF_Chihuahua,IDF_Hidalgo,IDF_BC,IDF_Campeche,IDF_Tlaxcala,IDF_SLP,IDF_Aguascalientes,IDF_Nayarit
interesa,7.482451828654308,7.749996245016435,7.76739107194869,7.808376835001858,7.5156011849336455,7.24557200611053,7.856054431267386,6.79587164077383,8.011326695155502,7.915095619582712,7.824329121652389,8.013598031286355,7.462860279217888,7.550527186693356,7.4011523288989105,7.80128303447162,7.4594212001764255,7.455621792585534,7.707306781054507,7.847739846572151,7.905883963946422,7.692135436786668,8.074399023056863,7.956946365277817,7.265934725587533,7.72415290228846,7.527855913236273,7.627776790915388,7.70808408385307,7.627796392224757,7.546110020274741,7.887552571664617
hilo,7.636602508481567,7.96621935348607,8.460538252508634,7.808376835001858,7.661453061946208,7.904817634994794,8.154547419823382,7.979641737782247,8.011326695155502,8.093343850989031,7.760815715930064,8.043450994436036,7.591241445866094,7.583317009516346,7.762165674436241,7.776590421881249,7.974731136389744,7.6226758772487,7.907977476516659,7.62459629525794,7.575642277075845,7.404453364334887,7.632566270777823,7.956946365277817,7.294105602554229,8.486292954335358,7.575483962225528,8.13860241468138,7.48494053253886,8.525737985430716,7.047118854155753,7.482087463556454
presente,6.789304648094363,7.778167121983131,6.802310175905102,7.263149784518535,7.139123613698733,7.668428856930563,7.5058520018342705,7.22195603608473,7.200396478939173,7.263621135423335,7.572104361037337,7.196153134048832,7.2665803701732266,7.223314275484939,7.344354730505777,7.172674375049246,7.065204804604131,7.217210769140536,7.965135890356607,7.253032738825458,7.51501765525941,7.53798475695941,6.805887697593355,7.051237742734199,7.553616798039314,7.136366237386341,7.482393539159516,7.097148539853218,6.69648317217459,7.2600716120994395,6.595133730412695,7.5998704992128365
lindo,7.030466704911251,6.926795936208292,7.138782412526315,6.668942551813493,7.466811020764213,7.3170309700926754,7.3780186303243855,7.429595400862975,6.794931370831009,7.036231293227674,7.083172721906084,7.36557128600688,6.57839597895541,7.373596478534277,7.011687562137187,7.53891877000413,6.790044238950392,6.952518214913454,7.160763074686438,7.288124058636727,7.486030118386157,7.574352401130285,7.136129384463931,7.1637157261608895,7.448256282381487,6.905842578774509,7.438908427219777,6.8858394461860115,7.079475424430695,7.627796392224757,7.012027534344483,6.906723318652891
vino,7.636602508481567,7.206380798427453,7.649608036292306,7.585233283687648,7.413818490623703,7.24557200611053,7.552372017469164,7.797320180988292,6.871892411967137,7.4124667630209,7.516362378029102,7.532625370670046,7.550967546728154,7.373596478534277,7.604472032532638,7.640014886875498,7.588170182920733,7.669195892883593,7.466144724237619,7.442274738463986,7.640180798213416,7.388949177798922,7.786716950605081,7.569180834269054,7.553616798039314,7.598989759334454,6.971567915393526,7.365412526447898,7.841615476477592,7.094991861739991,7.288280910972641,7.887552571664617
saliendo,7.636602508481567,8.288992745749121,8.460538252508634,7.759586670832427,7.8225146193133135,8.127961186309005,7.994204769748203,7.743252959718016,7.451710907220079,7.894892912265193,7.8408584236036,7.8263864891982085,8.075038397244166,8.094142633282337,7.898362550646904,8.05617528410041,8.273712764095459,8.074661000991757,7.332613331613096,7.62459629525794,7.7832816418540895,7.756673957924239,8.32571345133777,8.416478694656258,7.59135712602216,8.234978526054451,7.993219162925507,7.984451734854121,7.48494053253886,7.879110820505663,7.488951606434792,7.482087463556454
volver,6.337319524351306,6.779638291872004,6.834571038123324,6.986396782598945,6.896561976527422,6.828678202178743,6.883322388488279,6.9741198721801485,7.0950359632813464,6.76996331527971,6.898250383412071,6.73593751116926,6.976426108576057,6.707848272162446,7.044477384960178,6.855433500355921,6.995307364986753,6.80169532517887,7.109469780298887,6.931449114697996,6.6846693531859795,7.181309813020677,6.870426218730926,7.051237742734199,6.572787545027587,6.743323649276734,7.0405607868804765,6.839319430551119,7.014936903293124,6.846095814323366,6.572660874560637,6.906723318652891
santa,7.030466704911251,6.890863926982228,6.456808532564495,7.386382424942483,6.931790668411165,6.535330392191285,7.146906909360999,6.903502304966196,6.401888782721401,7.044741982895583,6.503666775491441,6.944838705767927,6.844748284600857,7.373596478534277,6.5859024515380655,7.001526118853417,6.835746392431248,5.607772856706435,7.187431321768599,6.770180967101873,6.71064483958924,6.7113061837749415,6.582744146279145,6.494666097180005,6.842120478811172,7.254149273042724,7.1781821647565245,6.672265345887952,6.232177564043492,6.796498873183994,6.852962839714795,6.788940282996508
ustedes,5.6671618620160595,6.020309204430758,5.876540700076403,5.810280932775974,5.835837955778815,5.608921530151545,6.0325462637247504,5.843504852425865,5.916380966939701,5.904282584291972,5.93378810786455,6.022505659437809,6.181257313623799,6.274984189866167,5.724339013992039,5.910432662599335,5.659862248513546,6.23638151612881,6.0108574916307775,5.589890647419496,5.7086593866102024,5.879756680355877,5.771813930062816,6.122261851332729,5.761857328811258,5.966294984736086,5.229932833348039,6.4040013592932725,5.8172337119807835,5.967806200627825,5.784203514196367,5.601774596986953
total,7.231137400373402,7.526852693702225,6.938111717064164,7.386382424942483,7.29818830832842,7.477373620167855,6.725693444284696,7.132343877395043,7.318179514595556,7.253039026092798,7.123018630453283,7.051322186170377,7.163202015719391,6.977181205946031,7.11347025644713,7.28546986919459,7.008046390764183,7.312520948944861,7.084777167708515,7.401452743943731,7.327806113171263,7.219531025840875,7.180581147034766,6.570652004157926,7.4154664595584965,7.136366237386341,7.460414632440741,7.532466611111063,7.148468295917647,7.011610252800939,7.4348843851645166,7.194405391104672
